company_name,effective_from,effective_to
Recron Synthetics Ltd.,1998-08-01,2001-04-25
Rei Agro Ltd.,2008-09-10,2008-09-22
Rei Agro Ltd.,2009-05-11,2015-03-27
Reliance Capital Ltd.,1998-08-01,2017-09-05
Reliance Capital Ltd.,2018-02-05,2020-06-26
Reliance MediaWorks Ltd.,2002-03-29,2009-07-31
Reliance MediaWorks Ltd.,2011-02-08,2012-09-28
Reliance Natural Resources Ltd.,2006-07-25,2010-10-07
Reliance Petroleum Ltd.,2008-09-22,2009-06-17
Reliance Petroleum Ltd.- Merge,2000-05-24,2002-09-19
Rhone-Poulenc (India) Ltd.,1998-08-01,2002-01-17
Rolta India Ltd.,1998-08-01,2017-09-29
Roofit Industries Ltd.,2000-11-29,2003-03-17
Royal Cushion Vinyl Products Ltd.,1998-08-01,2000-02-16
Ruchi Soya Industries Ltd.,1998-08-01,2017-09-29
S. Kumars Nationwide Ltd.,2002-09-19,2008-04-24
S. Kumars Nationwide Ltd.,2008-09-10,2014-09-19
S.B.& T. International Ltd.,2002-09-19,2007-09-24
S.E. Investments Ltd.,2012-05-21,2016-04-01
SIV Industries Ltd.,1998-08-01,2002-04-23
SKS Microfinance Ltd.,2011-10-10,2018-12-28
SML Isuzu Ltd.,2004-01-02,2009-03-27
SML Isuzu Ltd.,2016-04-01,2018-09-28
SOL Pharmaceuticals Ltd.,1998-08-01,1999-12-08
SREI Infrastructure Finance Ltd.,2002-09-19,2019-09-27
Samtel Color Ltd.,1998-08-01,2009-03-27
Sandvik Asia Ltd. - Delisted,1998-08-01,2002-08-20
Sanghi Polysters Ltd.,1998-08-01,2001-04-25
Satyam Computer Services Ltd.,1998-08-01,2009-01-12
Schenectady Beck India Ltd.,1998-08-01,2002-04-23
Search Chem. Industries Ltd. - Sus,2003-04-07,2003-12-05
Sequent Scientific Ltd.,2016-09-30,2017-03-31
Shankara Building Products Ltd.,2018-04-02,2019-09-27
Shasun Pharmaceuticals Ltd.,2000-02-16,2015-03-27
Shaw Wallace & Co. Ltd.-Sus,1998-08-01,2000-05-24
Shilpi Cable Tech Ltd.,2017-03-31,2017-11-13
Shirpur Gold Refinery Ltd.,2002-09-19,2005-04-20
Shree Ashtavinayak Cine Vision Ltd.,2011-01-20,2014-03-28
Shrenuj & Co. Ltd.,1998-08-01,2016-04-01
Shri Lakshmi Cotsyn Ltd.,2012-09-28,2013-04-01
Shriram Investments Ltd.-Merged,2005-03-15,2005-12-14
Siltap Chemicals Ltd.- Merged,2002-09-19,2003-10-01
