date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2021-11-17,3509368.2927452857,0.0,3509368.2927452857,18211.34,-0.07413425529125317,1.0
2021-11-18,3450576.1549316994,0.0,3450576.1549316994,18059.5,-0.08964520253846076,1.0
2021-11-22,3368532.354578042,0.0,3368532.354578042,17708.55,-0.11129056374782875,1.0
2021-11-23,3475350.7014900753,1.4551915228366852e-11,3475350.7014900753,17823.5,-0.08310901081230015,1.0
2021-11-24,3507799.417851325,1.4551915228366852e-11,3507799.417851325,17733.0,-0.07454816668523656,1.0
2021-11-25,3595400.894031749,1.4551915228366852e-11,3595400.894031749,17861.65,-0.051436541111755996,1.0
2021-11-26,3492147.070797405,1.4551915228366852e-11,3492147.070797405,17340.5,-0.07867767682855087,1.0
2021-11-29,3399160.4190108217,0.0,3399160.4190108217,17339.15,-0.10321005656832727,1.0
2021-11-30,3436697.8569977805,0.0,3436697.8569977805,17270.25,-0.09330667080853106,1.0
2021-12-01,3498682.8089575362,0.0,3498682.8089575362,17444.45,-0.07695337331462204,1.0
2021-12-02,3610619.181819323,0.0,3610619.181819323,17675.0,-0.04742154747749949,1.0
2021-12-03,3658081.521615122,0.0,3658081.521615122,17493.7,-0.03489970567722467,1.0
2021-12-06,3642122.2464135415,0.0,3642122.2464135415,17197.5,-0.03911019172112862,1.0
2021-12-07,3683565.8545208923,0.0,3683565.8545208923,17464.95,-0.028176253221982694,1.0
2021-12-08,3710695.2323066317,0.0,3710695.2323066317,17751.9,-0.021018793681756076,1.0
2021-12-09,3706330.718104119,0.0,3706330.718104119,17797.8,-0.022170269917737073,1.0
2021-12-10,3755053.8784033656,0.0,3755053.8784033656,17802.59,-0.00931578975722458,1.0
2021-12-13,3788225.7106502545,0.0,3788225.7106502545,17664.84,-0.0005641682103753043,1.0
2021-12-14,3826798.524960577,0.0,3826798.524960577,17637.7,0.0,1.0
2021-12-15,3824689.6302473163,0.0,3824689.6302473163,17526.34,-0.0005510859010489089,1.0
2021-12-16,3805659.973250572,0.0,3805659.973250572,17539.3,-0.005523821432491749,1.0
2021-12-17,3725056.3554174905,0.0,3725056.3554174905,17249.0,-0.02658675884802031,1.0
2021-12-20,3584434.8181069535,0.0,3584434.8181069535,16856.2,-0.06333328114160919,1.0
2021-12-21,3629554.3704616567,0.0,3629554.3704616567,17037.75,-0.05154286362670535,1.0
2021-12-22,3680492.1553724823,0.0,3680492.1553724823,17232.8,-0.03823205445329836,1.0
2021-12-23,3658929.5777826803,0.0,3658929.5777826803,17360.65,-0.04386668022446416,1.0
2021-12-24,3683999.4538393077,0.0,3683999.4538393077,17273.65,-0.0373155446229666,1.0
2021-12-27,3763603.778314099,0.0,3763603.778314099,17351.8,-0.0165137375888188,1.0
2021-12-28,3827908.11120537,0.0,3827908.11120537,17501.75,0.0,1.0
2021-12-29,3843578.929779712,0.0,3843578.929779712,17478.8,0.0,1.0
2021-12-30,3849682.2789439224,0.0,3849682.2789439224,17449.3,0.0,1.0
2021-12-31,3916924.8205668326,0.0,3916924.8205668326,17618.8,0.0,1.0
2022-01-03,3997386.1483512963,0.0,3997386.1483512963,17874.0,0.0,1.0
2022-01-04,4058655.5337376255,0.0,4058655.5337376255,18030.95,0.0,1.0
2022-01-05,4080753.242134782,0.0,4080753.242134782,18147.5,0.0,1.0
2022-01-06,4135751.785489227,0.0,4135751.785489227,17985.59,0.0,1.0
2022-01-07,4236281.5982238995,0.0,4236281.5982238995,18053.95,0.0,1.0
2022-01-10,4296100.459195341,0.0,4296100.459195341,18229.09,0.0,1.0
2022-01-11,4360875.800699147,0.0,4360875.800699147,18275.15,0.0,1.0
2022-01-12,4327181.316296529,0.0,4327181.316296529,18430.25,-0.007726540709372287,1.0
2022-01-13,4348125.842697409,0.0,4348125.842697409,18482.45,-0.0029237150023154745,1.0
2022-01-14,4353553.698171552,0.0,4353553.698171552,18485.7,-0.001679044041204114,1.0
2022-01-17,4324295.041050223,7.275957614183426e-12,4324295.041050223,18543.2,-0.008388397496452371,1.0
2022-01-18,4215990.560050721,7.275957614183426e-12,4215990.560050721,18331.7,-0.03322388604261506,1.0
2022-01-19,4189631.8709063656,7.275957614183426e-12,4189631.8709063656,18179.7,-0.0392682428069443,1.0
