symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
LAURUSLABS,stitched,2328.0,1579.0,749.0,2023-12-29,0.0,2.3627519110493544,False,
LEMONTREE,stitched,2005.0,1579.0,426.0,2023-12-29,0.0,-1.0937500000000044,False,
LENSKART,no_data,,,,,,,,
LGEINDIA,no_data,,,,,,,,
LICHSGFIN,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-2.4991362432339015,False,
LICI,no_pre_history,,989.0,,,0.0,,,
LINDEINDIA,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.24189281124800122,False,
LLOYDSENGG,gdf_only,,,,,,,,1847.0
LLOYDSENT,no_data,,,,,,,,
LLOYDSME,no_pre_history,,699.0,,,0.0,,,
LODHA,no_pre_history,,1256.0,,,0.0,,,
LOTUSDEV,no_data,,,,,,,,
LT,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.9050993683561881,False,
LTF,kite_only,,1579.0,,,,,,
LTFOODS,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.8849557522123908,False,
