symbol,pnl_pct,reason,entry_date,exit_date,hold_days
ADANIENSOL,-0.21631781289678387,atr_stop,2021-06-28,2021-08-02,35
ADANIPOWER,-0.20417785119416343,atr_stop,2021-06-28,2021-08-09,42
TMPV,-0.023936379210083847,atr_stop,2021-01-25,2021-08-23,210
VEDL,0.23331334900907885,atr_stop,2021-03-08,2021-08-23,168
MOTHERSON,-0.03277952407724005,atr_stop,2021-03-22,2021-08-23,154
SAIL,0.24158317622689962,atr_stop,2021-04-05,2021-09-20,168
ADANIGREEN,0.21158242988278264,rank,2021-08-23,2021-09-20,28
ADANIENSOL,0.6108777272770411,atr_stop,2021-08-09,2021-09-27,49
TATAELXSI,3.4158481990548486,rank,2020-10-05,2021-10-04,364
JSWSTEEL,0.37556809346000186,rank,2021-04-05,2021-10-18,196
DALBHARAT,0.19662721939319572,atr_stop,2021-03-22,2021-10-25,217
IRCTC,0.14801138653703627,atr_stop,2021-09-20,2021-10-25,35
DEEPAKNTR,5.919772622056269,atr_stop,2020-03-23,2021-11-01,588
FACT,1.447640479768681,atr_stop,2020-07-27,2021-11-01,462
HINDALCO,0.35300207017062957,rank,2021-04-05,2021-11-01,210
TATASTEEL,0.3468406168761353,atr_stop,2021-04-19,2021-11-22,217
JSWENERGY,0.8722584007768559,atr_stop,2021-06-28,2021-11-22,147
BAJAJFINSV,-0.008447599642572023,rank,2021-11-01,2021-12-13,42
ADANIPOWER,-0.17997079971730978,atr_stop,2021-10-18,2021-12-27,70
TATAPOWER,0.9720832307986766,rank,2021-03-08,2021-12-27,294
JSL,0.19617224880382778,rank,2021-07-26,2021-12-27,154
ASTRAL,0.04021335131831849,rank,2021-08-23,2021-12-27,126
SAIL,-0.08345923586432924,rank,2021-10-04,2021-12-27,84
DEEPAKNTR,0.014597804621079069,rank,2021-11-01,2021-12-27,56
VEDL,0.12720095193089165,rank,2021-11-01,2021-12-27,56
MAXHEALTH,0.20912166772206664,rank,2021-08-23,2022-01-10,140
APOLLOHOSP,0.040680196155277404,rank,2021-12-27,2022-01-10,14
AJANTPHARM,0.06566070981403183,rank,2021-12-27,2022-01-10,14
LTIM,0.003242885543402574,rank,2021-12-27,2022-01-10,14
SCHAEFFLER,0.09146656105950779,rank,2021-12-27,2022-01-10,14
ABB,0.015475897366209912,rank,2021-12-27,2022-01-10,14
DIXON,6.411793016440651,rank,2020-03-23,2022-01-24,672
APLAPOLLO,2.089797071443483,atr_stop,2020-09-21,2022-01-31,497
LTTS,0.007808693555952262,atr_stop,2021-10-04,2022-01-31,119
FACT,0.13093008045415,rank,2021-11-01,2022-02-07,98
TATAPOWER,0.09279040537456185,rank,2022-01-10,2022-02-07,28
DEEPAKNTR,-0.08212633298186889,rank,2022-01-10,2022-02-07,28
TMPV,-0.0012686793450231715,rank,2022-01-10,2022-02-07,28
JSL,0.11324414880380473,rank,2022-01-10,2022-02-07,28
NATIONALUM,0.06386536593761072,rank,2022-01-10,2022-02-07,28
ADANIPOWER,0.04793356195202292,rank,2022-01-24,2022-02-07,14
KPITTECH,2.1030811254631363,atr_stop,2021-04-05,2022-02-14,315
PERSISTENT,0.4289642803977689,atr_stop,2021-06-28,2022-02-21,238
UNOMINDA,-0.2134286833096447,atr_stop,2021-12-27,2022-02-21,56
FLUOROCHEM,0.4363524662389522,atr_stop,2021-08-09,2022-02-28,203
ADANIENT,4.483128054593187,rank,2020-09-07,2022-03-07,546
AJANTPHARM,-0.20282534710379208,rank,2022-02-07,2022-03-07,28
PGHH,-0.03971752507323978,rank,2022-02-07,2022-03-07,28
IRCTC,-0.09801006066374207,rank,2021-11-01,2022-03-21,140
VEDL,0.16792554331270004,rank,2022-01-10,2022-03-21,70
TIINDIA,-0.14289869029132907,rank,2022-02-07,2022-03-21,42
TATAELXSI,0.3193742907562651,rank,2022-02-21,2022-04-04,42
FORTIS,0.09757952746544563,rank,2022-03-07,2022-04-04,28
MAXHEALTH,0.04952753615823524,rank,2022-02-07,2022-04-18,70
SCHAEFFLER,0.1340037835172594,rank,2022-02-07,2022-04-18,70
APOLLOHOSP,0.009123070802413258,rank,2022-02-07,2022-04-18,70
360ONE,0.048138409177723274,rank,2022-02-07,2022-04-18,70
THERMAX,0.09952491800299179,rank,2022-02-07,2022-04-18,70
OIL,0.03704811959052212,rank,2022-02-21,2022-04-18,56
LTIM,-0.03352027047273609,rank,2022-03-07,2022-04-18,42
CIPLA,-0.036999852402222255,rank,2022-03-21,2022-04-18,28
ABB,0.04035038288442139,rank,2022-03-21,2022-04-18,28
POWERINDIA,-0.011368487275992267,atr_stop,2022-01-24,2022-05-09,105
CGPOWER,3.206120630710897,atr_stop,2021-01-25,2022-05-16,476
LINDEINDIA,0.7645394287081702,atr_stop,2021-03-08,2022-05-16,434
KPRMILL,1.657343803968942,atr_stop,2021-04-05,2022-05-16,406
ADANIENSOL,0.37056076013110695,atr_stop,2021-10-04,2022-05-16,224
JSWENERGY,-0.13313875210697823,atr_stop,2021-11-29,2022-05-16,168
BSE,0.40476285735877915,atr_stop,2021-11-29,2022-05-16,168
