index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Gitanjali Gems Ltd.,2006-09-28,2016-04-01,INE346H01014,GITANJALI,2006-09-28,2016-04-01,norm-exact,
nse500,GlaxoSmithkline Consumer Healthcare Ltd.,1998-08-01,2019-09-27,INE264A01014,GSKCONS,2005-01-03,2019-09-27,norm-exact,
nse500,Global Offshore Services Ltd.,2016-04-01,2016-09-30,INE446C01013,GLOBOFFS,2016-04-01,2016-09-30,norm-exact,
nse500,Global Trust Bank Ltd.,1999-05-26,2004-08-27,INE130A01017,,,,isin-only,
nse500,Godavari Fertilisers & Chemicals Ltd.,1998-08-01,2002-09-19,,,,,unresolved,
nse500,Godavari Fertilisers & Chemicals Ltd.,2003-04-01,2008-02-15,INE507C01012,GODAVRFERT,2005-01-03,2008-02-14,norm-exact,
nse500,Godrej Industries Ltd.-Old,1998-08-01,2002-07-18,,,,,unresolved,
nse500,Good Value Marketing Co. Ltd.,1998-08-01,1999-02-03,,,,,unresolved,
nse500,Gruh Finance Ltd.,2013-04-01,2019-09-27,INE580B01029,GRUH,2013-04-01,2019-09-27,manual-isin,
nse500,Gujarat Gas Co. Ltd.,1998-08-01,2015-02-02,INE374A01029,GUJRATGAS,2005-01-03,2015-02-02,manual-symbol,
nse500,Gujarat Industries Power Co. Ltd.,1998-08-01,2016-04-01,INE162A01010,GIPCL,2005-01-03,2016-04-01,norm-exact,
nse500,Gujarat NRE Coke Ltd.,2005-04-08,2015-09-28,INE110D01013,GUJNRECOKE,2005-04-08,2015-09-28,manual-symbol,
nse500,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,1998-08-01,2016-04-01,INE113A01013,GNFC,2005-01-03,2016-04-01,norm-exact,
nse500,Gulf Oil India Ltd.-Old,1999-12-08,2002-09-19,,,,,unresolved,
nse500,HAMCO Mining & Smelting Ltd.,1998-08-01,2000-12-13,INE495501012,,,,isin-only,
nse500,HIL Ltd.,1998-08-01,2002-04-23,,,,,unresolved,
nse500,HSBC InvestDirect (India) Ltd.,2006-03-02,2010-07-08,INE800B01013,INVSTSMART,2006-03-02,2009-09-04,norm-exact,
nse500,HSBC InvestDirect (India) Ltd.,2006-03-02,2010-07-08,INE800B01013,HINVDIR,2009-09-07,2010-07-07,norm-exact,
nse500,HSIL Ltd.,2005-09-26,2018-12-28,INE415A01038,HINDSANIT,2005-09-26,2009-04-24,manual-symbol,
nse500,HSIL Ltd.,2005-09-26,2018-12-28,INE415A01038,HSIL,2009-04-27,2018-12-28,manual-symbol,
nse500,Henkel SPIC India Ltd.,2001-12-07,2003-04-01,INE902A01019,,,,isin-only,
nse500,Herbertsons Ltd.,1998-08-01,2000-12-13,,,,,unresolved,
nse500,Himachal Fut Com Ltd.- Old,1998-08-01,2011-02-08,INE548A01010,HIMACHLFUT,2005-01-03,2011-02-07,manual-symbol,
nse500,Hind Lever Chemicals Ltd.,1998-08-01,2004-06-14,INE336A01010,,,,isin-only,
nse500,Hind Syntex Ltd.,1998-08-01,2002-01-17,,,,,unresolved,
nse500,Hinduja Ventures Ltd.,2001-10-11,2007-03-29,INE353A01015,HTMT,2005-01-03,2007-03-28,manual-isin,
nse500,Hindustan Development Corporation Ltd.,1998-08-01,2000-12-13,,,,,unresolved,
nse500,Hindustan Organic Chemicals Ltd.,1998-08-01,2005-09-26,INE048A01011,HOCL,2005-01-03,2005-09-26,norm-exact,
nse500,Hindustan Powerplus Ltd.,1998-08-01,2002-09-19,INE554A01018,,,,isin-only,
nse500,Hitachi Home & Life Solutions (India) Ltd.,2016-04-01,2019-03-29,INE782A01015,HITACHIHOM,2016-04-01,2016-09-09,manual-symbol,
nse500,Hitachi Home & Life Solutions (India) Ltd.,2016-04-01,2019-03-29,INE782A01015,JCHAC,2016-09-12,2019-03-29,manual-symbol,
nse500,Hitech Drilling Services India Ltd.,1998-08-01,2002-04-23,INE555A01015,,,,isin-only,
nse500,Hoganas India Ltd.- Sus,1998-08-01,2002-05-21,,,,,unresolved,
nse500,Honda SIEL Power Products Ltd.,1998-08-01,2009-10-22,INE634A01018,SHRMHONDA,2005-01-03,2006-04-03,namechange-master,
nse500,Honda SIEL Power Products Ltd.,1998-08-01,2009-10-22,INE634A01018,HONDAPOWER,2006-04-04,2009-10-22,namechange-master,
nse500,Hotel Leela Venture Ltd.,1998-08-01,2015-09-28,INE102A01024,HOTELEELA,2005-01-03,2015-09-28,manual-symbol,
